Temperatura,Umidade,Chuva,Vento,Delta T,sp,wh,ir,bp
0.980000,0.020000,0.020000,0.020000,0.660000,0.317187,0.766238,0.798713,0.167396
0.980000,0.020000,0.020000,0.020000,0.980000,0.317028,0.766238,0.798713,0.167396
0.980000,0.020000,0.020000,0.340000,0.020000,0.317187,0.766238,0.798713,0.167396
0.980000,0.020000,0.020000,0.340000,0.340000,0.317187,0.766238,0.798713,0.167396
0.980000,0.020000,0.020000,0.340000,0.660000,0.317187,0.766238,0.798713,0.167396
0.980000,0.020000,0.020000,0.340000,0.980000,0.317028,0.766238,0.798713,0.167396
0.980000,0.020000,0.020000,0.660000,0.020000,0.315450,0.766238,0.798713,0.167396
0.980000,0.020000,0.020000,0.660000,0.340000,0.315450,0.766238,0.798713,0.167396
0.980000,0.020000,0.020000,0.660000,0.660000,0.315450,0.766238,0.798713,0.167396
0.980000,0.020000,0.020000,0.660000,0.980000,0.315450,0.766238,0.798713,0.167396
0.980000,0.020000,0.020000,0.980000,0.020000,0.316876,0.766238,0.798713,0.167396
0.980000,0.020000,0.020000,0.980000,0.340000,0.316876,0.766238,0.798713,0.167396
0.980000,0.020000,0.020000,0.980000,0.660000,0.316876,0.766238,0.798713,0.167396
0.980000,0.020000,0.020000,0.980000,0.980000,0.316876,0.766238,0.798713,0.167396
0.980000,0.020000,0.340000,0.020000,0.020000,0.317187,0.500000,0.364952,0.167396
0.980000,0.020000,0.340000,0.020000,0.340000,0.317187,0.500000,0.364952,0.167396
0.980000,0.020000,0.340000,0.020000,0.660000,0.317187,0.500000,0.364952,0.167396
0.980000,0.020000,0.340000,0.020000,0.980000,0.317028,0.500000,0.364952,0.167396
0.980000,0.020000,0.340000,0.340000,0.020000,0.317187,0.500000,0.364952,0.167396
0.980000,0.020000,0.340000,0.340000,0.340000,0.318311,0.500000,0.364952,0.167396
0.980000,0.020000,0.340000,0.340000,0.660000,0.317187,0.500000,0.364952,0.167396
0.980000,0.020000,0.340000,0.340000,0.980000,0.317028,0.500000,0.364952,0.167396
0.980000,0.020000,0.340000,0.660000,0.020000,0.315450,0.500000,0.364952,0.167396
0.980000,0.020000,0.340000,0.660000,0.340000,0.315450,0.500000,0.364952,0.167396
0.980000,0.020000,0.340000,0.660000,0.660000,0.315450,0.500000,0.364952,0.167396
0.980000,0.020000,0.340000,0.660000,0.980000,0.315450,0.500000,0.364952,0.167396
0.980000,0.020000,0.340000,0.980000,0.020000,0.316876,0.500000,0.364952,0.167396
0.980000,0.020000,0.340000,0.980000,0.340000,0.316876,0.500000,0.364952,0.167396
0.980000,0.020000,0.340000,0.980000,0.660000,0.316876,0.500000,0.364952,0.167396
0.980000,0.020000,0.340000,0.980000,0.980000,0.316876,0.500000,0.364952,0.167396
0.980000,0.020000,0.660000,0.020000,0.020000,0.317187,0.500000,0.364952,0.167396
0.980000,0.020000,0.660000,0.020000,0.340000,0.317187,0.500000,0.364952,0.167396
0.980000,0.020000,0.660000,0.020000,0.660000,0.315568,0.500000,0.364952,0.167396
0.980000,0.020000,0.660000,0.020000,0.980000,0.317028,0.500000,0.364952,0.167396
0.980000,0.020000,0.660000,0.340000,0.020000,0.317187,0.500000,0.364952,0.167396
0.980000,0.020000,0.660000,0.340000,0.340000,0.317187,0.500000,0.364952,0.167396
0.980000,0.020000,0.660000,0.340000,0.660000,0.315568,0.500000,0.364952,0.167396
0.980000,0.020000,0.660000,0.340000,0.980000,0.317028,0.500000,0.364952,0.167396
0.980000,0.020000,0.660000,0.660000,0.020000,0.315450,0.500000,0.364952,0.167396
0.980000,0.020000,0.660000,0.660000,0.340000,0.315450,0.500000,0.364952,0.167396
0.980000,0.020000,0.660000,0.660000,0.660000,0.315450,0.500000,0.364952,0.167396
0.980000,0.020000,0.660000,0.660000,0.980000,0.315450,0.500000,0.364952,0.167396
0.980000,0.020000,0.660000,0.980000,0.020000,0.316876,0.500000,0.364952,0.167396
0.980000,0.020000,0.660000,0.980000,0.340000,0.316876,0.500000,0.364952,0.167396
0.980000,0.020000,0.660000,0.980000,0.660000,0.315568,0.500000,0.364952,0.167396
0.980000,0.020000,0.660000,0.980000,0.980000,0.316876,0.500000,0.364952,0.167396
0.980000,0.020000,0.980000,0.020000,0.020000,0.317187,0.500000,0.364952,0.167396
0.980000,0.020000,0.980000,0.020000,0.340000,0.317187,0.500000,0.364952,0.167396
0.980000,0.020000,0.980000,0.020000,0.660000,0.317187,0.500000,0.364952,0.167396
0.980000,0.020000,0.980000,0.020000,0.980000,0.317028,0.500000,0.364952,0.167396
0.980000,0.020000,0.980000,0.340000,0.020000,0.317187,0.500000,0.364952,0.167396
0.980000,0.020000,0.980000,0.340000,0.340000,0.317187,0.500000,0.364952,0.167396
0.980000,0.020000,0.980000,0.340000,0.660000,0.317187,0.500000,0.364952,0.167396
0.980000,0.020000,0.980000,0.340000,0.980000,0.317028,0.500000,0.364952,0.167396
0.980000,0.020000,0.980000,0.660000,0.020000,0.315450,0.500000,0.364952,0.167396
0.980000,0.020000,0.980000,0.660000,0.340000,0.315450,0.500000,0.364952,0.167396
0.980000,0.020000,0.980000,0.660000,0.660000,0.315450,0.500000,0.364952,0.167396
0.980000,0.020000,0.980000,0.660000,0.980000,0.315450,0.500000,0.364952,0.167396
0.980000,0.020000,0.980000,0.980000,0.020000,0.316876,0.500000,0.364952,0.167396
0.980000,0.020000,0.980000,0.980000,0.340000,0.316876,0.500000,0.364952,0.167396
0.980000,0.020000,0.980000,0.980000,0.660000,0.316876,0.500000,0.364952,0.167396
0.980000,0.020000,0.980000,0.980000,0.980000,0.316876,0.500000,0.364952,0.167396
0.980000,0.340000,0.020000,0.020000,0.020000,0.134791,0.494041,0.201986,0.167396
0.980000,0.340000,0.020000,0.020000,0.340000,0.134791,0.494041,0.201986,0.167396
0.980000,0.340000,0.020000,0.020000,0.660000,0.134791,0.494041,0.201986,0.167396
0.980000,0.340000,0.020000,0.020000,0.980000,0.134670,0.494041,0.201986,0.167396
0.980000,0.340000,0.020000,0.340000,0.020000,0.134791,0.494041,0.201986,0.167396
0.980000,0.340000,0.020000,0.340000,0.340000,0.134791,0.494041,0.201986,0.167396
0.980000,0.340000,0.020000,0.340000,0.660000,0.134791,0.494041,0.201986,0.167396
0.980000,0.340000,0.020000,0.340000,0.980000,0.134670,0.494041,0.201986,0.167396
0.980000,0.340000,0.020000,0.660000,0.020000,0.133426,0.494041,0.201986,0.167396
0.980000,0.340000,0.020000,0.660000,0.340000,0.133426,0.494041,0.201986,0.167396
0.980000,0.340000,0.020000,0.660000,0.660000,0.133426,0.494041,0.201986,0.167396
0.980000,0.340000,0.020000,0.660000,0.980000,0.133426,0.494041,0.201986,0.167396
0.980000,0.340000,0.020000,0.980000,0.020000,0.134553,0.494041,0.201986,0.167396
0.980000,0.340000,0.020000,0.980000,0.340000,0.134553,0.494041,0.201986,0.167396
0.980000,0.340000,0.020000,0.980000,0.660000,0.134553,0.494041,0.201986,0.167396
0.980000,0.340000,0.020000,0.980000,0.980000,0.134553,0.494041,0.201986,0.167396
0.980000,0.340000,0.340000,0.020000,0.020000,0.199299,0.498887,0.365576,0.167396
0.980000,0.340000,0.340000,0.020000,0.340000,0.317178,0.498887,0.365576,0.167396
0.980000,0.340000,0.340000,0.020000,0.660000,0.134791,0.498887,0.365576,0.167396
0.980000,0.340000,0.340000,0.020000,0.980000,0.134670,0.498887,0.365576,0.167396
0.980000,0.340000,0.340000,0.340000,0.020000,0.199299,0.498887,0.365576,0.167396
0.980000,0.340000,0.340000,0.340000,0.340000,0.318311,0.498887,0.365576,0.167396
0.980000,0.340000,0.340000,0.340000,0.660000,0.134791,0.498887,0.365576,0.167396
0.980000,0.340000,0.340000,0.340000,0.980000,0.134670,0.498887,0.365576,0.167396
0.980000,0.340000,0.340000,0.660000,0.020000,0.133426,0.498887,0.365576,0.167396
0.980000,0.340000,0.340000,0.660000,0.340000,0.133426,0.498887,0.365576,0.167396
0.980000,0.340000,0.340000,0.660000,0.660000,0.133426,0.498887,0.365576,0.167396
0.980000,0.340000,0.340000,0.660000,0.980000,0.133426,0.498887,0.365576,0.167396
0.980000,0.340000,0.340000,0.980000,0.020000,0.134553,0.498887,0.365576,0.167396
0.980000,0.340000,0.340000,0.980000,0.340000,0.134553,0.498887,0.365576,0.167396
0.980000,0.340000,0.340000,0.980000,0.660000,0.134553,0.498887,0.365576,0.167396
0.980000,0.340000,0.340000,0.980000,0.980000,0.134553,0.498887,0.365576,0.167396
0.980000,0.340000,0.660000,0.020000,0.020000,0.134791,0.498887,0.365585,0.167396
0.980000,0.340000,0.660000,0.020000,0.340000,0.134791,0.498887,0.365585,0.167396
0.980000,0.340000,0.660000,0.020000,0.660000,0.133523,0.498887,0.365585,0.167396
0.980000,0.340000,0.660000,0.020000,0.980000,0.134670,0.498887,0.365585,0.167396
0.980000,0.340000,0.660000,0.340000,0.020000,0.134791,0.498887,0.365585,0.167396
0.980000,0.340000,0.660000,0.340000,0.340000,0.134791,0.498887,0.365585,0.167396
0.980000,0.340000,0.660000,0.340000,0.660000,0.133523,0.498887,0.365585,0.167396
0.980000,0.340000,0.660000,0.340000,0.980000,0.134670,0.498887,0.365585,0.167396
0.980000,0.340000,0.660000,0.660000,0.020000,0.133426,0.498887,0.365585,0.167396
0.980000,0.340000,0.660000,0.660000,0.340000,0.133426,0.498887,0.365585,0.167396
0.980000,0.340000,0.660000,0.660000,0.660000,0.133426,0.498887,0.365585,0.167396
0.980000,0.340000,0.660000,0.660000,0.980000,0.133426,0.498887,0.365585,0.167396
0.980000,0.340000,0.660000,0.980000,0.020000,0.134553,0.498887,0.365585,0.167396
0.980000,0.340000,0.660000,0.980000,0.340000,0.134553,0.498887,0.365585,0.167396
0.980000,0.340000,0.660000,0.980000,0.660000,0.133523,0.498887,0.365585,0.167396
0.980000,0.340000,0.660000,0.980000,0.980000,0.134553,0.498887,0.365585,0.167396
0.980000,0.340000,0.980000,0.020000,0.020000,0.134791,0.498874,0.364132,0.167396
0.980000,0.340000,0.980000,0.020000,0.340000,0.134791,0.498874,0.364132,0.167396
0.980000,0.340000,0.980000,0.020000,0.660000,0.134791,0.498874,0.364132,0.167396
0.980000,0.340000,0.980000,0.020000,0.980000,0.134670,0.498874,0.364132,0.167396
0.980000,0.340000,0.980000,0.340000,0.020000,0.134791,0.498874,0.364132,0.167396
0.980000,0.340000,0.980000,0.340000,0.340000,0.134791,0.498874,0.364132,0.167396
0.980000,0.340000,0.980000,0.340000,0.660000,0.134791,0.498874,0.364132,0.167396
0.980000,0.340000,0.980000,0.340000,0.980000,0.134670,0.498874,0.364132,0.167396
0.980000,0.340000,0.980000,0.660000,0.020000,0.133426,0.498874,0.364132,0.167396
0.980000,0.340000,0.980000,0.660000,0.340000,0.133426,0.498874,0.364132,0.167396
0.980000,0.340000,0.980000,0.660000,0.660000,0.133426,0.498874,0.364132,0.167396
0.980000,0.340000,0.980000,0.660000,0.980000,0.133426,0.498874,0.364132,0.167396
0.980000,0.340000,0.980000,0.980000,0.020000,0.134553,0.498874,0.364132,0.167396
0.980000,0.340000,0.980000,0.980000,0.340000,0.134553,0.498874,0.364132,0.167396
0.980000,0.340000,0.980000,0.980000,0.660000,0.134553,0.498874,0.364132,0.167396
0.980000,0.340000,0.980000,0.980000,0.980000,0.134553,0.498874,0.364132,0.167396
0.980000,0.660000,0.020000,0.020000,0.020000,0.134791,0.402573,0.232476,0.167396
0.980000,0.660000,0.020000,0.020000,0.340000,0.134791,0.402573,0.232476,0.167396
0.980000,0.660000,0.020000,0.020000,0.660000,0.134791,0.402573,0.232476,0.167396
0.980000,0.660000,0.020000,0.020000,0.980000,0.134670,0.402573,0.232476,0.167396
0.980000,0.660000,0.020000,0.340000,0.020000,0.134791,0.402573,0.232476,0.167396
0.980000,0.660000,0.020000,0.340000,0.340000,0.134791,0.402573,0.232476,0.167396
0.980000,0.660000,0.020000,0.340000,0.660000,0.134791,0.402573,0.232476,0.167396
0.980000,0.660000,0.020000,0.340000,0.980000,0.134670,0.402573,0.232476,0.167396
0.980000,0.660000,0.020000,0.660000,0.020000,0.133426,0.402573,0.232476,0.167396
0.980000,0.660000,0.020000,0.660000,0.340000,0.133426,0.402573,0.232476,0.167396
0.980000,0.660000,0.020000,0.660000,0.660000,0.133426,0.402573,0.232476,0.167396
0.980000,0.660000,0.020000,0.660000,0.980000,0.133426,0.402573,0.232476,0.167396
0.980000,0.660000,0.020000,0.980000,0.020000,0.134553,0.402573,0.232476,0.167396
0.980000,0.660000,0.020000,0.980000,0.340000,0.134553,0.402573,0.232476,0.167396
0.980000,0.660000,0.020000,0.980000,0.660000,0.134553,0.402573,0.232476,0.167396
0.980000,0.660000,0.020000,0.980000,0.980000,0.134553,0.402573,0.232476,0.167396
0.980000,0.660000,0.340000,0.020000,0.020000,0.199299,0.400320,0.233227,0.167396
0.980000,0.660000,0.340000,0.020000,0.340000,0.317178,0.400320,0.233227,0.167396
0.980000,0.660000,0.340000,0.020000,0.660000,0.134791,0.400320,0.233227,0.167396
0.980000,0.660000,0.340000,0.020000,0.980000,0.134670,0.400320,0.233227,0.167396
0.980000,0.660000,0.340000,0.340000,0.020000,0.199299,0.400320,0.233227,0.167396
0.980000,0.660000,0.340000,0.340000,0.340000,0.318311,0.400320,0.233227,0.167396
0.980000,0.660000,0.340000,0.340000,0.660000,0.134791,0.400320,0.233227,0.167396
0.980000,0.660000,0.340000,0.340000,0.980000,0.134670,0.400320,0.233227,0.167396
0.980000,0.660000,0.340000,0.660000,0.020000,0.133426,0.400320,0.233227,0.167396
0.980000,0.660000,0.340000,0.660000,0.340000,0.133426,0.400320,0.233227,0.167396
0.980000,0.660000,0.340000,0.660000,0.660000,0.133426,0.400320,0.233227,0.167396
0.980000,0.660000,0.340000,0.660000,0.980000,0.133426,0.400320,0.233227,0.167396
0.980000,0.660000,0.340000,0.980000,0.020000,0.134553,0.400320,0.233227,0.167396
0.980000,0.660000,0.340000,0.980000,0.340000,0.134553,0.400320,0.233227,0.167396
0.980000,0.660000,0.340000,0.980000,0.660000,0.134553,0.400320,0.233227,0.167396
0.980000,0.660000,0.340000,0.980000,0.980000,0.134553,0.400320,0.233227,0.167396
0.980000,0.660000,0.660000,0.020000,0.020000,0.134791,0.400308,0.233231,0.167396
0.980000,0.660000,0.660000,0.020000,0.340000,0.134791,0.400308,0.233231,0.167396
0.980000,0.660000,0.660000,0.020000,0.660000,0.133523,0.400308,0.233231,0.167396
0.980000,0.660000,0.660000,0.020000,0.980000,0.134670,0.400308,0.233231,0.167396
0.980000,0.660000,0.660000,0.340000,0.020000,0.134791,0.400308,0.233231,0.167396
0.980000,0.660000,0.660000,0.340000,0.340000,0.134791,0.400308,0.233231,0.167396
0.980000,0.660000,0.660000,0.340000,0.660000,0.133523,0.400308,0.233231,0.167396
0.980000,0.660000,0.660000,0.340000,0.980000,0.134670,0.400308,0.233231,0.167396
0.980000,0.660000,0.660000,0.660000,0.020000,0.133426,0.400308,0.233231,0.167396
0.980000,0.660000,0.660000,0.660000,0.340000,0.133426,0.400308,0.233231,0.167396
0.980000,0.660000,0.660000,0.660000,0.660000,0.133426,0.400308,0.233231,0.167396
0.980000,0.660000,0.660000,0.660000,0.980000,0.133426,0.400308,0.233231,0.167396
0.980000,0.660000,0.660000,0.980000,0.020000,0.134553,0.400308,0.233231,0.167396
0.980000,0.660000,0.660000,0.980000,0.340000,0.134553,0.400308,0.233231,0.167396
0.980000,0.660000,0.660000,0.980000,0.660000,0.133523,0.400308,0.233231,0.167396
0.980000,0.660000,0.660000,0.980000,0.980000,0.134553,0.400308,0.233231,0.167396
0.980000,0.660000,0.980000,0.020000,0.020000,0.134791,0.402477,0.232508,0.167396
0.980000,0.660000,0.980000,0.020000,0.340000,0.134791,0.402477,0.232508,0.167396
0.980000,0.660000,0.980000,0.020000,0.660000,0.134791,0.402477,0.232508,0.167396
0.980000,0.660000,0.980000,0.020000,0.980000,0.134670,0.402477,0.232508,0.167396
0.980000,0.660000,0.980000,0.340000,0.020000,0.134791,0.402477,0.232508,0.167396
0.980000,0.660000,0.980000,0.340000,0.340000,0.134791,0.402477,0.232508,0.167396
0.980000,0.660000,0.980000,0.340000,0.660000,0.134791,0.402477,0.232508,0.167396
0.980000,0.660000,0.980000,0.340000,0.980000,0.134670,0.402477,0.232508,0.167396
0.980000,0.660000,0.980000,0.660000,0.020000,0.133426,0.402477,0.232508,0.167396
0.980000,0.660000,0.980000,0.660000,0.340000,0.133426,0.402477,0.232508,0.167396
0.980000,0.660000,0.980000,0.660000,0.660000,0.133426,0.402477,0.232508,0.167396
0.980000,0.660000,0.980000,0.660000,0.980000,0.133426,0.402477,0.232508,0.167396
0.980000,0.660000,0.980000,0.980000,0.020000,0.134553,0.402477,0.232508,0.167396
0.980000,0.660000,0.980000,0.980000,0.340000,0.134553,0.402477,0.232508,0.167396
0.980000,0.660000,0.980000,0.980000,0.660000,0.134553,0.402477,0.232508,0.167396
0.980000,0.660000,0.980000,0.980000,0.980000,0.134553,0.402477,0.232508,0.167396
0.980000,0.980000,0.020000,0.020000,0.020000,0.134791,0.402573,0.232476,0.167396
0.980000,0.980000,0.020000,0.020000,0.340000,0.134791,0.402573,0.232476,0.167396
0.980000,0.980000,0.020000,0.020000,0.660000,0.134791,0.402573,0.232476,0.167396
0.980000,0.980000,0.020000,0.020000,0.980000,0.134670,0.402573,0.232476,0.167396
0.980000,0.980000,0.020000,0.340000,0.020000,0.134791,0.402573,0.232476,0.167396
0.980000,0.980000,0.020000,0.340000,0.340000,0.134791,0.402573,0.232476,0.167396
0.980000,0.980000,0.020000,0.340000,0.660000,0.134791,0.402573,0.232476,0.167396
0.980000,0.980000,0.020000,0.340000,0.980000,0.134670,0.402573,0.232476,0.167396
0.980000,0.980000,0.020000,0.660000,0.020000,0.133426,0.402573,0.232476,0.167396
0.980000,0.980000,0.020000,0.660000,0.340000,0.133426,0.402573,0.232476,0.167396
0.980000,0.980000,0.020000,0.660000,0.660000,0.133426,0.402573,0.232476,0.167396
0.980000,0.980000,0.020000,0.660000,0.980000,0.133426,0.402573,0.232476,0.167396
0.980000,0.980000,0.020000,0.980000,0.020000,0.134553,0.402573,0.232476,0.167396
0.980000,0.980000,0.020000,0.980000,0.340000,0.134553,0.402573,0.232476,0.167396
0.980000,0.980000,0.020000,0.980000,0.660000,0.134553,0.402573,0.232476,0.167396
0.980000,0.980000,0.020000,0.980000,0.980000,0.134553,0.402573,0.232476,0.167396
0.980000,0.980000,0.340000,0.020000,0.020000,0.199299,0.402571,0.232476,0.167396
0.980000,0.980000,0.340000,0.020000,0.340000,0.317178,0.402571,0.232476,0.167396
0.980000,0.980000,0.340000,0.020000,0.660000,0.134791,0.402571,0.232476,0.167396
0.980000,0.980000,0.340000,0.020000,0.980000,0.134670,0.402571,0.232476,0.167396
0.980000,0.980000,0.340000,0.340000,0.020000,0.199299,0.402571,0.232476,0.167396
0.980000,0.980000,0.340000,0.340000,0.340000,0.318311,0.402571,0.232476,0.167396
0.980000,0.980000,0.340000,0.340000,0.660000,0.134791,0.402571,0.232476,0.167396
0.980000,0.980000,0.340000,0.340000,0.980000,0.134670,0.402571,0.232476,0.167396
0.980000,0.980000,0.340000,0.660000,0.020000,0.133426,0.402571,0.232476,0.167396
0.980000,0.980000,0.340000,0.660000,0.340000,0.133426,0.402571,0.232476,0.167396
0.980000,0.980000,0.340000,0.660000,0.660000,0.133426,0.402571,0.232476,0.167396
0.980000,0.980000,0.340000,0.660000,0.980000,0.133426,0.402571,0.232476,0.167396
0.980000,0.980000,0.340000,0.980000,0.020000,0.134553,0.402571,0.232476,0.167396
0.980000,0.980000,0.340000,0.980000,0.340000,0.134553,0.402571,0.232476,0.167396
0.980000,0.980000,0.340000,0.980000,0.660000,0.134553,0.402571,0.232476,0.167396
0.980000,0.980000,0.340000,0.980000,0.980000,0.134553,0.402571,0.232476,0.167396
0.980000,0.980000,0.660000,0.020000,0.020000,0.134791,0.402571,0.232476,0.167396
0.980000,0.980000,0.660000,0.020000,0.340000,0.134791,0.402571,0.232476,0.167396
0.980000,0.980000,0.660000,0.020000,0.660000,0.133523,0.402571,0.232476,0.167396
0.980000,0.980000,0.660000,0.020000,0.980000,0.134670,0.402571,0.232476,0.167396
0.980000,0.980000,0.660000,0.340000,0.020000,0.134791,0.402571,0.232476,0.167396
0.980000,0.980000,0.660000,0.340000,0.340000,0.134791,0.402571,0.232476,0.167396
0.980000,0.980000,0.660000,0.340000,0.660000,0.133523,0.402571,0.232476,0.167396
0.980000,0.980000,0.660000,0.340000,0.980000,0.134670,0.402571,0.232476,0.167396
0.980000,0.980000,0.660000,0.660000,0.020000,0.133426,0.402571,0.232476,0.167396
0.980000,0.980000,0.660000,0.660000,0.340000,0.133426,0.402571,0.232476,0.167396
0.980000,0.980000,0.660000,0.660000,0.660000,0.133426,0.402571,0.232476,0.167396
0.980000,0.980000,0.660000,0.660000,0.980000,0.133426,0.402571,0.232476,0.167396
0.980000,0.980000,0.660000,0.980000,0.020000,0.134553,0.402571,0.232476,0.167396
0.980000,0.980000,0.660000,0.980000,0.340000,0.134553,0.402571,0.232476,0.167396
0.980000,0.980000,0.660000,0.980000,0.660000,0.133523,0.402571,0.232476,0.167396
0.980000,0.980000,0.660000,0.980000,0.980000,0.134553,0.402571,0.232476,0.167396
0.980000,0.980000,0.980000,0.020000,0.020000,0.134791,0.402571,0.232476,0.167396
0.980000,0.980000,0.980000,0.020000,0.340000,0.134791,0.402571,0.232476,0.167396
0.980000,0.980000,0.980000,0.020000,0.660000,0.134791,0.402571,0.232476,0.167396
0.980000,0.980000,0.980000,0.020000,0.980000,0.134670,0.402571,0.232476,0.167396
0.980000,0.980000,0.980000,0.340000,0.020000,0.134791,0.402571,0.232476,0.167396
0.980000,0.980000,0.980000,0.340000,0.340000,0.134791,0.402571,0.232476,0.167396
0.980000,0.980000,0.980000,0.340000,0.660000,0.134791,0.402571,0.232476,0.167396
0.980000,0.980000,0.980000,0.340000,0.980000,0.134670,0.402571,0.232476,0.167396
0.980000,0.980000,0.980000,0.660000,0.020000,0.133426,0.402571,0.232476,0.167396
0.980000,0.980000,0.980000,0.660000,0.340000,0.133426,0.402571,0.232476,0.167396
0.980000,0.980000,0.980000,0.660000,0.660000,0.133426,0.402571,0.232476,0.167396
0.980000,0.980000,0.980000,0.660000,0.980000,0.133426,0.402571,0.232476,0.167396
0.980000,0.980000,0.980000,0.980000,0.020000,0.134553,0.402571,0.232476,0.167396
0.980000,0.980000,0.980000,0.980000,0.340000,0.134553,0.402571,0.232476,0.167396
0.980000,0.980000,0.980000,0.980000,0.660000,0.134553,0.402571,0.232476,0.167396
0.980000,0.980000,0.980000,0.980000,0.980000,0.134553,0.402571,0.232476,0.167396
